Age;Over18;Education;EducationField;Gender;MaritalStatus;cpf_11
36.0;Y;4.0;Life Sciences;Female;Married;45339645401
33.0;Y;3.0;Life Sciences;Female;Married;27088499649
35.0;Y;2.0;Other;Male;Divorced;90972488090
27.0;Y;4.0;Life Sciences;Female;Divorced;30864760604
26.0;Y;3.0;Life Sciences;Male;Single;25293574396
27.0;Y;3.0;Life Sciences;Male;Single;08193425561
30.0;Y;2.0;Medical;Female;Single;68379002938
41.0;Y;3.0;Technical Degree;Female;Married;95864444812
34.0;Y;4.0;Marketing;Male;Single;62278292854
37.0;Y;2.0;Life Sciences;Male;Married;41048634086
46.0;Y;4.0;Marketing;Male;Single;46869742081
35.0;Y;1.0;Life Sciences;Male;Married;45740716802
48.0;Y;2.0;Life Sciences;Male;Single;26698785202
28.0;Y;4.0;Technical Degree;Male;Single;68175549696
44.0;Y;5.0;Marketing;Female;Divorced;80282988777
35.0;Y;2.0;Medical;Male;Married;56746790967
26.0;Y;3.0;Marketing;Female;Married;81606829807
33.0;Y;2.0;Life Sciences;Female;Single;40534202373
35.0;Y;5.0;Life Sciences;Male;Married;51698983204
35.0;Y;4.0;Medical;Female;Married;32695068999
31.0;Y;4.0;Life Sciences;Male;Divorced;04033966706
37.0;Y;4.0;Life Sciences;Male;Divorced;36423900809
32.0;Y;3.0;Medical;Male;Married;13360521471
38.0;Y;5.0;Life Sciences;Female;Single;58035248910
50.0;Y;2.0;Medical;Female;Divorced;38919908397
59.0;Y;3.0;Life Sciences;Female;Single;14781522491
36.0;Y;3.0;Technical Degree;Female;Divorced;66713575447
55.0;Y;3.0;Medical;Female;Divorced;33217993080
36.0;Y;3.0;Life Sciences;Male;Single;21401832156
45.0;Y;3.0;Life Sciences;Male;Divorced;73543657186
35.0;Y;3.0;Medical;Male;Married;33289828689
36.0;Y;3.0;Medical;Male;Married;25335883260
59.0;Y;1.0;Life Sciences;Female;Single;09210664060
29.0;Y;3.0;Life Sciences;Male;Married;27358504984
31.0;Y;4.0;Medical;Male;Single;15122279519
32.0;Y;3.0;Life Sciences;Male;Married;73259524142
36.0;Y;3.0;Life Sciences;Female;Married;81485994756
31.0;Y;4.0;Life Sciences;Female;Single;58769483574
35.0;Y;4.0;Marketing;Male;Single;01949455882
45.0;Y;4.0;Other;Male;Married;36445933025
37.0;Y;4.0;Medical;Male;Single;24166536281
46.0;Y;2.0;Medical;Male;Divorced;25614169172
30.0;Y;1.0;Life Sciences;Male;Married;83425511726
35.0;Y;3.0;Medical;Male;Single;01823232850
55.0;Y;2.0;Life Sciences;Male;Married;12041776277
38.0;Y;3.0;Medical;Female;Divorced;89074775071
34.0;Y;2.0;Medical;Male;Married;73888445620
56.0;Y;3.0;Life Sciences;Male;Single;60532324242
23.0;Y;1.0;Technical Degree;Male;Divorced;79185056200
51.0;Y;4.0;Life Sciences;Male;Married;61630566209
30.0;Y;3.0;Life Sciences;Male;Married;20696486210
46.0;Y;2.0;Medical;Male;Single;27736685614
40.0;Y;4.0;Life Sciences;Male;Married;30087150956
51.0;Y;4.0;Marketing;Male;Single;11137920190
30.0;Y;2.0;Medical;Female;Divorced;60057012741
46.0;Y;3.0;Medical;Male;Married;36937167300
32.0;Y;4.0;Medical;Male;Single;21532584725
54.0;Y;4.0;Technical Degree;Female;Married;08503681030
24.0;Y;2.0;Other;Female;Married;01909933910
28.0;Y;3.0;Medical;Male;Married;65884685122
58.0;Y;4.0;Medical;Male;Single;97962746556
44.0;Y;3.0;Medical;Male;Married;82694682405
37.0;Y;4.0;Human Resources;Male;Divorced;77863856655
32.0;Y;1.0;Life Sciences;Male;Single;07803153836
20.0;Y;3.0;Life Sciences;Female;Single;36203196509
34.0;Y;4.0;Other;Female;Single;86879997805
37.0;Y;2.0;Life Sciences;Male;Divorced;66111263170
59.0;Y;4.0;Human Resources;Female;Married;53578113778
50.0;Y;3.0;Life Sciences;Female;Married;34433717797
25.0;Y;3.0;Marketing;Male;Single;67471244305
25.0;Y;1.0;Medical;Male;Married;13110794837
22.0;Y;3.0;Medical;Female;Single;42365605770
51.0;Y;4.0;Medical;Female;Single;20796220808
34.0;Y;3.0;Life Sciences;Male;Single;77738637170
54.0;Y;3.0;Human Resources;Female;Single;85401663307
24.0;Y;1.0;Life Sciences;Male;Married;33333298759
34.0;Y;4.0;Life Sciences;Female;Divorced;42299706330
37.0;Y;3.0;Life Sciences;Male;Single;98956847622
34.0;Y;3.0;Medical;Female;Single;31064021999
36.0;Y;2.0;Technical Degree;Female;Married;69031873241
36.0;Y;2.0;Life Sciences;Female;Divorced;50591777002
43.0;Y;2.0;Life Sciences;Male;Married;24845934221
30.0;Y;3.0;Life Sciences;Male;Divorced;19618921204
33.0;Y;2.0;Marketing;Male;Married;66804898141
56.0;Y;4.0;Life Sciences;Female;Married;44568059780
51.0;Y;3.0;Life Sciences;Male;Single;96459898332
31.0;Y;4.0;Life Sciences;Male;Married;40465332188
26.0;Y;3.0;Other;Female;Married;23919337891
58.0;Y;4.0;Medical;Female;Married;94501216999
19.0;Y;1.0;Marketing;Male;Single;66242733560
22.0;Y;1.0;Technical Degree;Male;Married;41211295206
49.0;Y;4.0;Medical;Female;Married;44419080671
43.0;Y;3.0;Medical;Female;Single;47977713217
50.0;Y;3.0;Marketing;Female;Single;45888478210
31.0;Y;3.0;Life Sciences;Female;Married;42895605637
41.0;Y;1.0;Life Sciences;Male;Divorced;42783516900
26.0;Y;1.0;Life Sciences;Female;Married;83786015104
36.0;Y;2.0;Medical;Male;Divorced;38934574615
51.0;Y;4.0;Life Sciences;Male;Single;51977696708
39.0;Y;4.0;Life Sciences;Female;Married;05122696705
25.0;Y;3.0;Life Sciences;Male;Married;73849160971
30.0;Y;3.0;Human Resources;Male;Married;87284950200
32.0;Y;3.0;Medical;Female;Single;72256687570
45.0;Y;3.0;Medical;Male;Single;66364021212
38.0;Y;5.0;Technical Degree;Female;Single;40489878520
30.0;Y;3.0;Life Sciences;Female;Single;53974433015
32.0;Y;2.0;Medical;Male;Divorced;46652555395
30.0;Y;3.0;Technical Degree;Female;Divorced;11791494676
30.0;Y;1.0;Medical;Male;Single;34895501108
41.0;Y;3.0;Life Sciences;Male;Divorced;03706069652
41.0;Y;4.0;Life Sciences;Male;Married;55085805062
19.0;Y;1.0;Medical;Female;Single;54913042980
40.0;Y;3.0;Medical;Female;Divorced;59543969221
35.0;Y;5.0;Marketing;Male;Married;47883796356
53.0;Y;2.0;Marketing;Male;Married;65579352166
45.0;Y;3.0;Life Sciences;Male;Divorced;80967696003
32.0;Y;3.0;Marketing;Female;Single;35816467905
29.0;Y;1.0;Technical Degree;Male;Married;66398465431
51.0;Y;4.0;Medical;Male;Married;79055496405
58.0;Y;3.0;Medical;Female;Married;95781244816
40.0;Y;4.0;Marketing;Male;Married;42512007723
34.0;Y;4.0;Marketing;Female;Married;70848651367
22.0;Y;1.0;Medical;Male;Married;55179953308
27.0;Y;3.0;Medical;Male;Divorced;93272471243
28.0;Y;3.0;Medical;Male;Married;89061846463
57.0;Y;2.0;Life Sciences;Male;Divorced;09344828539
27.0;Y;3.0;Medical;Male;Divorced;23092103823
50.0;Y;3.0;Life Sciences;Female;Single;32654348423
41.0;Y;3.0;Life Sciences;Male;Divorced;41048923860
30.0;Y;3.0;Life Sciences;Female;Married;04639567707
38.0;Y;4.0;Life Sciences;Female;Single;44105783408
32.0;Y;5.0;Life Sciences;Male;Single;23355804770
27.0;Y;3.0;Technical Degree;Male;Married;95240285306
19.0;Y;1.0;Technical Degree;Female;Single;27399745234
36.0;Y;2.0;Medical;Male;Single;41677057106
30.0;Y;3.0;Medical;Male;Divorced;75049731658
45.0;Y;2.0;Life Sciences;Female;Divorced;93063414581
56.0;Y;3.0;Life Sciences;Female;Divorced;54942821630
33.0;Y;3.0;Life Sciences;Male;Single;13118126019
19.0;Y;3.0;Life Sciences;Male;Single;93888722152
46.0;Y;2.0;Marketing;Female;Divorced;41066169390
38.0;Y;2.0;Life Sciences;Female;Single;52174453606
31.0;Y;1.0;Medical;Female;Married;61363845586
34.0;Y;2.0;Medical;Female;Single;75826336951
41.0;Y;2.0;Marketing;Female;Single;22098110405
50.0;Y;3.0;Medical;Male;Married;19626994800
53.0;Y;2.0;Medical;Female;Divorced;36623300082
33.0;Y;3.0;Medical;Female;Married;10925293903
40.0;Y;1.0;Medical;Female;Married;84505835278
55.0;Y;4.0;Medical;Male;Single;24419769823
34.0;Y;1.0;Life Sciences;Male;Married;33251729110
51.0;Y;3.0;Medical;Female;Single;65486839600
52.0;Y;4.0;Life Sciences;Male;Married;10935191429
27.0;Y;3.0;Medical;Female;Single;76119666184
35.0;Y;2.0;Life Sciences;Male;Married;32791094008
43.0;Y;3.0;Medical;Male;Divorced;55079104805
45.0;Y;2.0;Medical;Male;Married;06097013809
37.0;Y;3.0;Life Sciences;Male;Married;36913249756
35.0;Y;3.0;Medical;Female;Single;47158960447
42.0;Y;2.0;Medical;Female;Divorced;50918618665
38.0;Y;4.0;Life Sciences;Male;Married;94588753584
38.0;Y;3.0;Technical Degree;Male;Married;17373757960
27.0;Y;1.0;Technical Degree;Male;Married;34691226010
49.0;Y;4.0;Life Sciences;Male;Divorced;26241860933
34.0;Y;4.0;Medical;Male;Divorced;20515885894
40.0;Y;2.0;Medical;Male;Married;26858443924
38.0;Y;1.0;Medical;Male;Married;20190249420
29.0;Y;3.0;Marketing;Female;Married;82858356777
22.0;Y;3.0;Life Sciences;Male;Divorced;51311336028
36.0;Y;1.0;Medical;Female;Single;23170961357
40.0;Y;5.0;Life Sciences;Male;Married;05154272170
46.0;Y;4.0;Medical;Male;Divorced;04721550910
32.0;Y;4.0;Medical;Male;Married;40516227971
30.0;Y;1.0;Life Sciences;Male;Single;91393484743
27.0;Y;3.0;Life Sciences;Female;Single;58166030357
51.0;Y;4.0;Life Sciences;Male;Married;97484031810
30.0;Y;3.0;Technical Degree;Female;Single;47338481709
41.0;Y;3.0;Life Sciences;Female;Single;29469898362
30.0;Y;4.0;Marketing;Female;Single;68766802741
29.0;Y;3.0;Technical Degree;Male;Single;69849111682
45.0;Y;3.0;Medical;Female;Single;13922445799
54.0;Y;3.0;Marketing;Female;Married;47477895103
36.0;Y;2.0;Life Sciences;Male;Single;29227452281
33.0;Y;4.0;Medical;Female;Married;56057385691
37.0;Y;3.0;Other;Male;Divorced;39283449274
38.0;Y;3.0;Life Sciences;Male;Divorced;42485779090
31.0;Y;4.0;Medical;Male;Married;90385705700
59.0;Y;3.0;Life Sciences;Male;Married;33145037927
37.0;Y;4.0;Marketing;Male;Divorced;29034085562
29.0;Y;1.0;Medical;Female;Married;65080850930
35.0;Y;3.0;Marketing;Female;Single;62692531876
29.0;Y;1.0;Medical;Male;Single;72750598192
52.0;Y;3.0;Life Sciences;Female;Single;66363310970
42.0;Y;2.0;Technical Degree;Male;Married;50052868370
59.0;Y;2.0;Medical;Male;Married;11588672123
50.0;Y;4.0;Medical;Female;Divorced;54649216052
33.0;Y;3.0;Medical;Male;Married;92418834301
43.0;Y;3.0;Marketing;Female;Married;11058602560
33.0;Y;2.0;Life Sciences;Female;Married;34219687645
52.0;Y;4.0;Life Sciences;Male;Single;96829908400
32.0;Y;2.0;Life Sciences;Female;Married;18952687027
32.0;Y;3.0;Life Sciences;Male;Single;04292919224
39.0;Y;4.0;Medical;Female;Divorced;69236312543
32.0;Y;4.0;Marketing;Male;Married;36587767141
41.0;Y;2.0;Life Sciences;Male;Divorced;74019095370
40.0;Y;2.0;Technical Degree;Male;Divorced;51354774701
45.0;Y;3.0;Other;Male;Married;17780197735
31.0;Y;4.0;Medical;Male;Divorced;85019738824
33.0;Y;4.0;Life Sciences;Female;Married;01800764936
34.0;Y;4.0;Life Sciences;Male;Married;18395005300
37.0;Y;2.0;Medical;Female;Married;62472989512
45.0;Y;4.0;Life Sciences;Male;Married;44585562583
37.0;Y;3.0;Medical;Male;Divorced;65515652479
39.0;Y;4.0;Technical Degree;Female;Single;14609623897
29.0;Y;3.0;Life Sciences;Male;Single;41831928620
42.0;Y;2.0;Life Sciences;Female;Single;20515294772
29.0;Y;2.0;Marketing;Male;Divorced;02713262399
25.0;Y;3.0;Life Sciences;Female;Married;61922206466
42.0;Y;3.0;Medical;Female;Divorced;93398319696
40.0;Y;2.0;Medical;Male;Divorced;55473903215
51.0;Y;3.0;Life Sciences;Male;Married;27021730551
31.0;Y;2.0;Medical;Male;Single;25243829234
32.0;Y;3.0;Life Sciences;Male;Married;70063448831
38.0;Y;2.0;Life Sciences;Male;Married;04136786875
32.0;Y;1.0;Technical Degree;Male;Single;98237820088
46.0;Y;3.0;Technical Degree;Female;Married;64427526314
28.0;Y;4.0;Life Sciences;Male;Single;99955612800
29.0;Y;3.0;Medical;Male;Married;05529882781
31.0;Y;3.0;Medical;Male;Married;08580017300
25.0;Y;2.0;Life Sciences;Male;Divorced;31837487464
45.0;Y;2.0;Medical;Male;Married;01415579741
36.0;Y;3.0;Life Sciences;Male;Married;27485680013
55.0;Y;3.0;Medical;Male;Single;03400007080
47.0;Y;4.0;Life Sciences;Male;Married;54743615305
28.0;Y;3.0;Medical;Male;Married;84631031204
37.0;Y;4.0;Medical;Male;Married;20113490607
21.0;Y;2.0;Medical;Male;Single;10578238721
37.0;Y;4.0;Medical;Female;Divorced;05788855900
35.0;Y;3.0;Life Sciences;Female;Divorced;79199759217
38.0;Y;2.0;Medical;Female;Divorced;23293897606
26.0;Y;3.0;Life Sciences;Female;Divorced;52337774015
50.0;Y;1.0;Life Sciences;Male;Divorced;51310897867
53.0;Y;4.0;Medical;Male;Married;33113781728
42.0;Y;1.0;Life Sciences;Male;Married;78249492730
29.0;Y;2.0;Life Sciences;Male;Single;26683665508
55.0;Y;2.0;Technical Degree;Male;Married;09225902069
26.0;Y;2.0;Medical;Male;Married;22940273294
37.0;Y;3.0;Life Sciences;Female;Single;85547451320
44.0;Y;3.0;Life Sciences;Male;Divorced;17458285591
38.0;Y;4.0;Life Sciences;Male;Divorced;59684909934
26.0;Y;4.0;Medical;Male;Divorced;72115716671
28.0;Y;2.0;Life Sciences;Female;Single;00875714048
49.0;Y;4.0;Life Sciences;Female;Single;84118800284
36.0;Y;3.0;Technical Degree;Male;Single;21983624578
31.0;Y;3.0;Marketing;Female;Divorced;87864928293
26.0;Y;4.0;Marketing;Male;Single;72830318714
37.0;Y;3.0;Medical;Male;Married;38145286891
42.0;Y;3.0;Marketing;Female;Married;60204046254
18.0;Y;3.0;Life Sciences;Male;Single;08988101758
35.0;Y;3.0;Marketing;Male;Married;99129745578
36.0;Y;4.0;Life Sciences;Male;Married;55608006275
51.0;Y;3.0;Medical;Male;Divorced;96109372846
41.0;Y;4.0;Life Sciences;Male;Single;68049580806
18.0;Y;3.0;Medical;Female;Single;08285022420
28.0;Y;2.0;Medical;Male;Single;28157762782
31.0;Y;3.0;Technical Degree;Male;Married;35682421507
39.0;Y;3.0;Medical;Male;Divorced;51997480506
36.0;Y;4.0;Life Sciences;Female;Married;29181864655
32.0;Y;3.0;Life Sciences;Male;Married;43546232348
38.0;Y;2.0;Life Sciences;Female;Married;61735539295
58.0;Y;4.0;Life Sciences;Male;Divorced;34549116056
31.0;Y;4.0;Technical Degree;Male;Married;49191628989
31.0;Y;3.0;Human Resources;Male;Married;24338166452
45.0;Y;3.0;Life Sciences;Male;Divorced;71861826079
31.0;Y;4.0;Life Sciences;Male;Divorced;99706028455
33.0;Y;4.0;Life Sciences;Female;Married;47685726939
39.0;Y;1.0;Medical;Male;Married;09239840893
43.0;Y;4.0;Life Sciences;Female;Single;03780716453
49.0;Y;2.0;Technical Degree;Female;Single;04179235544
52.0;Y;4.0;Medical;Male;Married;46731256307
27.0;Y;3.0;Life Sciences;Female;Single;59343492529
32.0;Y;2.0;Technical Degree;Female;Married;03827450861
27.0;Y;3.0;Life Sciences;Male;Single;07131811505
31.0;Y;3.0;Marketing;Male;Divorced;90353057010
32.0;Y;4.0;Medical;Female;Single;71591529050
28.0;Y;4.0;Medical;Male;Married;91262098378
30.0;Y;2.0;Medical;Female;Married;67800446280
31.0;Y;2.0;Life Sciences;Female;Married;60750773405
39.0;Y;2.0;Medical;Male;Married;24340241148
39.0;Y;2.0;Medical;Female;Married;80702005100
33.0;Y;3.0;Marketing;Male;Single;60304699837
47.0;Y;5.0;Life Sciences;Male;Married;04210691984
43.0;Y;4.0;Life Sciences;Female;Divorced;54022735104
27.0;Y;1.0;Marketing;Male;Married;50549298274
54.0;Y;4.0;Life Sciences;Female;Single;21143211774
43.0;Y;3.0;Life Sciences;Female;Married;22842301307
45.0;Y;4.0;Other;Male;Married;05185999900
40.0;Y;2.0;Medical;Male;Married;54330854147
29.0;Y;4.0;Other;Male;Married;74157149467
29.0;Y;5.0;Other;Male;Single;00210555211
30.0;Y;3.0;Marketing;Female;Divorced;86607868231
27.0;Y;4.0;Marketing;Female;Married;95281032860
37.0;Y;2.0;Medical;Male;Divorced;01554973830
38.0;Y;2.0;Life Sciences;Male;Divorced;34518650921
31.0;Y;4.0;Medical;Female;Single;27708521408
29.0;Y;1.0;Marketing;Female;Divorced;23351353251
35.0;Y;4.0;Technical Degree;Male;Single;45744177906
23.0;Y;1.0;Life Sciences;Male;Divorced;30846879190
41.0;Y;3.0;Medical;Male;Single;45394557616
47.0;Y;1.0;Medical;Male;Single;33622474661
42.0;Y;5.0;Life Sciences;Female;Single;31988343410
29.0;Y;3.0;Life Sciences;Male;Married;11488123500
42.0;Y;1.0;Technical Degree;Male;Divorced;79561952505
32.0;Y;3.0;Medical;Female;Married;43226195921
48.0;Y;1.0;Medical;Female;Married;96586632064
37.0;Y;3.0;Medical;Male;Divorced;13162347629
30.0;Y;2.0;Technical Degree;Female;Married;90362449511
26.0;Y;3.0;Life Sciences;Male;Married;27838915651
42.0;Y;4.0;Other;Male;Single;34518462688
21.0;Y;1.0;Technical Degree;Female;Single;45364138631
36.0;Y;5.0;Medical;Female;Single;99276671404
36.0;Y;4.0;Medical;Male;Married;73839323070
57.0;Y;4.0;Medical;Male;Married;06225267158
40.0;Y;4.0;Life Sciences;Female;Married;64162040885
21.0;Y;2.0;Medical;Male;Single;17415862597
33.0;Y;3.0;Marketing;Female;Single;79612942102
37.0;Y;3.0;Medical;Female;Married;40179002830
46.0;Y;4.0;Medical;Female;Married;69605146819
41.0;Y;3.0;Marketing;Male;Single;83900640491
50.0;Y;3.0;Technical Degree;Male;Single;53718806070
40.0;Y;2.0;Marketing;Male;Married;75225437540
31.0;Y;4.0;Life Sciences;Male;Single;65003893019
21.0;Y;3.0;Life Sciences;Female;Single;81338008625
29.0;Y;3.0;Life Sciences;Male;Single;15270748622
35.0;Y;4.0;Life Sciences;Male;Single;12937030289
27.0;Y;2.0;Medical;Male;Divorced;77186601332
28.0;Y;4.0;Life Sciences;Male;Single;81183792484
49.0;Y;3.0;Other;Male;Single;16055503700
51.0;Y;2.0;Life Sciences;Female;Married;74997655040
36.0;Y;3.0;Life Sciences;Female;Married;07324336493
34.0;Y;3.0;Marketing;Male;Single;25986082087
55.0;Y;3.0;Life Sciences;Female;Single;11448638054
24.0;Y;4.0;Marketing;Female;Divorced;57110509907
30.0;Y;1.0;Technical Degree;Male;Married;04945128570
26.0;Y;1.0;Technical Degree;Male;Single;79622695450
22.0;Y;3.0;Medical;Female;Married;27220103565
36.0;Y;2.0;Medical;Male;Married;31194486304
30.0;Y;3.0;Technical Degree;Male;Single;84871429075
37.0;Y;3.0;Life Sciences;Female;Divorced;76260649509
40.0;Y;2.0;Marketing;Female;Divorced;27366467626
42.0;Y;4.0;Life Sciences;Female;Divorced;65880381943
37.0;Y;4.0;Life Sciences;Male;Single;23625521954
43.0;Y;3.0;Life Sciences;Male;Divorced;32056953218
40.0;Y;3.0;Medical;Female;Married;69650997202
54.0;Y;2.0;Medical;Male;Married;97055407214
34.0;Y;4.0;Marketing;Female;Married;21789559910
31.0;Y;2.0;Medical;Female;Married;11584050497
43.0;Y;3.0;Medical;Male;Married;89999041302
43.0;Y;4.0;Other;Female;Divorced;92940912017
25.0;Y;2.0;Life Sciences;Female;Single;77028499162
37.0;Y;5.0;Medical;Female;Married;96002736000
31.0;Y;2.0;Life Sciences;Male;Married;66728862226
39.0;Y;1.0;Life Sciences;Male;Divorced;62086585942
56.0;Y;3.0;Life Sciences;Female;Married;63656153370
30.0;Y;3.0;Technical Degree;Female;Single;74056503419
41.0;Y;3.0;Marketing;Male;Married;14330969785
28.0;Y;2.0;Medical;Male;Divorced;26825701274
25.0;Y;3.0;Medical;Male;Married;67393576767
52.0;Y;3.0;Medical;Male;Married;20415231744
45.0;Y;2.0;Life Sciences;Male;Married;60447779010
52.0;Y;2.0;Life Sciences;Female;Married;16249534504
42.0;Y;2.0;Life Sciences;Female;Divorced;24566895009
30.0;Y;3.0;Life Sciences;Female;Single;66392157131
60.0;Y;3.0;Life Sciences;Female;Married;47765044486
46.0;Y;3.0;Medical;Female;Divorced;67198412203
42.0;Y;4.0;Technical Degree;Female;Married;61288751494
24.0;Y;1.0;Technical Degree;Female;Single;11479090247
34.0;Y;2.0;Marketing;Female;Divorced;58505178475
38.0;Y;2.0;Life Sciences;Male;Married;18016585795
40.0;Y;4.0;Life Sciences;Female;Married;67342469300
26.0;Y;3.0;Life Sciences;Female;Divorced;20575617047
30.0;Y;3.0;Life Sciences;Male;Married;71363545019
29.0;Y;4.0;Medical;Male;Married;93471717862
29.0;Y;5.0;Technical Degree;Female;Married;13886888835
19.0;Y;2.0;Technical Degree;Male;Single;90050405217
30.0;Y;4.0;Other;Female;Married;99018567523
57.0;Y;3.0;Marketing;Male;Divorced;56894493774
50.0;Y;4.0;Life Sciences;Male;Married;23070494528
30.0;Y;3.0;Medical;Female;Single;58151029978
60.0;Y;3.0;Marketing;Female;Married;30798385804
47.0;Y;2.0;Medical;Female;Divorced;51855749416
46.0;Y;3.0;Life Sciences;Male;Married;31411812689
35.0;Y;3.0;Life Sciences;Male;Single;04815249245
54.0;Y;4.0;Life Sciences;Female;Single;10703953826
34.0;Y;4.0;Life Sciences;Male;Divorced;29740264352
46.0;Y;3.0;Marketing;Female;Married;51272667251
31.0;Y;1.0;Life Sciences;Male;Divorced;70500958696
33.0;Y;1.0;Medical;Male;Married;24491230080
33.0;Y;1.0;Medical;Male;Divorced;46775542186
30.0;Y;1.0;Marketing;Male;Single;10592030148
35.0;Y;3.0;Life Sciences;Male;Married;93212491175
31.0;Y;3.0;Life Sciences;Male;Married;99403829443
34.0;Y;3.0;Human Resources;Female;Divorced;58168973810
42.0;Y;2.0;Other;Male;Married;92437559787
36.0;Y;4.0;Medical;Male;Single;58404929653
22.0;Y;1.0;Technical Degree;Male;Single;39473073658
48.0;Y;5.0;Marketing;Female;Married;31542802270
55.0;Y;5.0;Life Sciences;Female;Single;76703251789
41.0;Y;2.0;Life Sciences;Male;Single;78618812889
35.0;Y;3.0;Marketing;Male;Married;31196866627
40.0;Y;3.0;Life Sciences;Female;Single;92344986820
39.0;Y;1.0;Life Sciences;Female;Married;15688167238
31.0;Y;1.0;Life Sciences;Male;Single;30738952052
42.0;Y;3.0;Medical;Male;Married;56775473796
45.0;Y;3.0;Other;Male;Married;30107862123
26.0;Y;4.0;Life Sciences;Female;Divorced;46178081243
29.0;Y;3.0;Technical Degree;Male;Divorced;58840960708
33.0;Y;5.0;Medical;Female;Divorced;30714105066
31.0;Y;3.0;Life Sciences;Male;Divorced;21967589305
18.0;Y;3.0;Marketing;Male;Single;01218209550
40.0;Y;3.0;Other;Male;Divorced;82289757241
41.0;Y;4.0;Other;Female;Single;51369433352
26.0;Y;2.0;Medical;Male;Divorced;97584086748
35.0;Y;3.0;Medical;Female;Single;72817921909
34.0;Y;4.0;Life Sciences;Male;Single;35261394740
26.0;Y;3.0;Technical Degree;Male;Single;08782295310
37.0;Y;3.0;Technical Degree;Female;Single;99487046658
46.0;Y;1.0;Medical;Female;Married;81127177290
41.0;Y;5.0;Life Sciences;Female;Married;23221080816
37.0;Y;4.0;Medical;Male;Divorced;43007600553
52.0;Y;2.0;Technical Degree;Male;Divorced;46848990639
32.0;Y;4.0;Other;Male;Married;58402323006
24.0;Y;3.0;Medical;Male;Married;66713277349
38.0;Y;3.0;Medical;Female;Married;74683943859
37.0;Y;4.0;Life Sciences;Female;Married;21792372515
49.0;Y;4.0;Life Sciences;Male;Divorced;92238670530
24.0;Y;3.0;Medical;Male;Married;09017852968
26.0;Y;2.0;Marketing;Male;Married;81437926177
24.0;Y;2.0;Other;Male;Married;92183170085
50.0;Y;3.0;Medical;Male;Married;64995692320
25.0;Y;1.0;Medical;Male;Married;07188125902
24.0;Y;3.0;Life Sciences;Female;Married;09715787967
30.0;Y;4.0;Life Sciences;Male;Married;25568904014
34.0;Y;2.0;Life Sciences;Male;Married;30402530420
31.0;Y;4.0;Medical;Male;Divorced;50844891169
35.0;Y;2.0;Other;Male;Single;56086132950
31.0;Y;4.0;Medical;Male;Divorced;61647460786
27.0;Y;4.0;Medical;Female;Divorced;30930693434
37.0;Y;3.0;Marketing;Male;Married;86422086270
20.0;Y;3.0;Life Sciences;Female;Single;75511781711
42.0;Y;4.0;Life Sciences;Female;Married;52043534700
43.0;Y;4.0;Other;Male;Divorced;89808489273
38.0;Y;1.0;Life Sciences;Female;Single;05938988420
43.0;Y;5.0;Medical;Male;Divorced;63925359850
48.0;Y;4.0;Life Sciences;Female;Married;74017076408
44.0;Y;4.0;Life Sciences;Female;Single;73012487760
34.0;Y;3.0;Technical Degree;Female;Divorced;35720200266
27.0;Y;1.0;Marketing;Male;Divorced;75546350180
